"connection_id","repo_id","id","node_id","head_branch","head_sha","path","run_number","event","status","conclusion","workflow_id","check_suite_id","check_suite_node_id","url","html_url","github_created_at","github_updated_at","run_attempt","run_started_at","jobs_url","logs_url","check_suite_url","artifacts_url","cancel_url","rerun_url","workflow_url","type","created_at","updated_at","_raw_data_params","_raw_data_table","_raw_data_id","_raw_data_remark","environment","name","display_title"
2,283046497,20052830033,WFR_kwLOEN7yYc8AAAAEqz3nUQ,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/run-connector-tests-command.yml,38310,push,completed,success,162466529,51757378899,CS_kwDOEN7yYc8AAAAMDPrtUw,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033,https://github.com/airbytehq/airbyte/actions/runs/20052830033,"2025-12-09 05:17:16","2025-12-09 05:17:22",1,"2025-12-09 05:17:16",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757378899,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830033/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/162466529,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106821,"","",Airbyte CI for Connector Contributions,[up-to-date]Upgrade the base image to the latest version in metadata.…
2,283046497,20052830981,WFR_kwLOEN7yYc8AAAAEqz3rBQ,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/jvm-connector-pr-structure.yml,8278,pull_request,completed,success,193647230,51757381172,CS_kwDOEN7yYc8AAAAMDPr2NA,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981,https://github.com/airbytehq/airbyte/actions/runs/20052830981,"2025-12-09 05:17:19","2025-12-09 05:17:29",1,"2025-12-09 05:17:19",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757381172,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052830981/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/193647230,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106820,"","",PR cannot modify both bulk CDK and connectors,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052831011,WFR_kwLOEN7yYc8AAAAEqz3rIw,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/java-cdk-tests.yml,30371,pull_request,completed,success,164963605,51757381221,CS_kwDOEN7yYc8AAAAMDPr2ZQ,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011,https://github.com/airbytehq/airbyte/actions/runs/20052831011,"2025-12-09 05:17:19","2025-12-09 05:17:28",1,"2025-12-09 05:17:19",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757381221,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831011/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/164963605,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106819,"","",Java CDK Tests,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052831012,WFR_kwLOEN7yYc8AAAAEqz3rJA,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/changelog_update_check.yml,8998,pull_request,completed,success,191824997,51757381225,CS_kwDOEN7yYc8AAAAMDPr2aQ,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012,https://github.com/airbytehq/airbyte/actions/runs/20052831012,"2025-12-09 05:17:19","2025-12-09 05:17:28",1,"2025-12-09 05:17:19",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757381225,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831012/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/191824997,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106818,"","",Changelog Update Check,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052831013,WFR_kwLOEN7yYc8AAAAEqz3rJQ,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/connectors-cdk-version-check.yml,7626,pull_request,completed,success,193674681,51757381228,CS_kwDOEN7yYc8AAAAMDPr2bA,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013,https://github.com/airbytehq/airbyte/actions/runs/20052831013,"2025-12-09 05:17:19","2025-12-09 05:17:27",1,"2025-12-09 05:17:19",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757381228,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831013/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/193674681,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106817,"","",Connectors CDK Version Check,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052831019,WFR_kwLOEN7yYc8AAAAEqz3rKw,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/internal-airbyte-ci-tests.yml,22750,pull_request,completed,success,164967178,51757381250,CS_kwDOEN7yYc8AAAAMDPr2gg,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019,https://github.com/airbytehq/airbyte/actions/runs/20052831019,"2025-12-09 05:17:19","2025-12-09 05:17:26",1,"2025-12-09 05:17:19",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757381250,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052831019/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/164967178,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106816,"","",Internal CI Tooling Checks,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052840385,WFR_kwLOEN7yYc8AAAAEqz4PwQ,up-to-date/source-coda,"9ea81b8168e43b48c3c2015442903cfb6460f7a1",.github/workflows/run-connector-tests-command.yml,38311,push,completed,success,162466529,51757403902,CS_kwDOEN7yYc8AAAAMDPtO_g,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385,https://github.com/airbytehq/airbyte/actions/runs/20052840385,"2025-12-09 05:17:49","2025-12-09 05:17:56",1,"2025-12-09 05:17:49",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757403902,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840385/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/162466529,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106815,"","",Airbyte CI for Connector Contributions,fix(source-asana): Add items field to organization_export_ids array s…
2,283046497,20052840468,WFR_kwLOEN7yYc8AAAAEqz4QFA,up-to-date/source-boldsign,aacbbab962c42831abc65099bf3f3b6747735f7a,.github/workflows/auto_merge_notification.yml,7034,pull_request,completed,success,162464875,51757404146,CS_kwDOEN7yYc8AAAAMDPtP8g,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468,https://github.com/airbytehq/airbyte/actions/runs/20052840468,"2025-12-09 05:17:49","2025-12-09 05:17:58",1,"2025-12-09 05:17:49",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757404146,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052840468/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/162464875,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106814,"","",Add Auto-Merge Notification Text,🐙 source-boldsign: run up-to-date pipeline [2025-12-09]
2,283046497,20052850932,WFR_kwLOEN7yYc8AAAAEqz449A,up-to-date/source-coda,d3b985a81f6d8ba1db0abc062b1c903c8057d2fe,.github/workflows/community-pr-permissions-check.yml,2305,pull_request_target,completed,skipped,198876536,51757430620,CS_kwDOEN7yYc8AAAAMDPu3XA,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932,https://github.com/airbytehq/airbyte/actions/runs/20052850932,"2025-12-09 05:18:25","2025-12-09 05:18:26",1,"2025-12-09 05:18:25",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757430620,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850932/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/198876536,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106813,"","",Community PR Permission Check,🐙 source-coda: run up-to-date pipeline [2025-12-09]
2,283046497,20052850935,WFR_kwLOEN7yYc8AAAAEqz449w,up-to-date/source-coda,d3b985a81f6d8ba1db0abc062b1c903c8057d2fe,.github/workflows/welcome-message.yml,8981,pull_request_target,completed,success,165141652,51757430627,CS_kwDOEN7yYc8AAAAMDPu3Yw,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935,https://github.com/airbytehq/airbyte/actions/runs/20052850935,"2025-12-09 05:18:25","2025-12-09 05:18:51",1,"2025-12-09 05:18:25",https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935/jobs,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935/logs,https://api.github.com/repos/airbytehq/airbyte/check-suites/51757430627,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935/artifacts,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935/cancel,https://api.github.com/repos/airbytehq/airbyte/actions/runs/20052850935/rerun,https://api.github.com/repos/airbytehq/airbyte/actions/workflows/165141652,"","2025-12-09 05:19:07.024","2025-12-09 05:19:07.024","{""ConnectionId"":2,""Name"":""airbytehq/airbyte""}",_raw_github_api_runs,106812,"","",Community PR Welcome Message,🐙 source-coda: run up-to-date pipeline [2025-12-09]
