ParentSystemId,SystemId,JOB_ID,BUSINESS_GROUP_ID,JOB_DEFINITION_ID,DATE_FROM,DATE_TO,NAME,REQUEST_ID,PROGRAM_APPLICATION_ID,PROGRAM_ID,PROGRAM_UPDATE_DATE,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CREATED_BY,CREATION_DATE,JOB_INFORMATION_CATEGORY,JOB_INFORMATION1,JOB_INFORMATION2,JOB_INFORMATION3,JOB_INFORMATION4,JOB_INFORMATION5,JOB_INFORMATION6,JOB_INFORMATION7,JOB_INFORMATION8,JOB_INFORMATION9,JOB_INFORMATION10,JOB_INFORMATION11,JOB_INFORMATION12,JOB_INFORMATION13,JOB_INFORMATION14,JOB_INFORMATION15,JOB_INFORMATION16,JOB_INFORMATION17,JOB_INFORMATION18,JOB_INFORMATION19,JOB_INFORMATION20,OBJECT_VERSION_NUMBER,BENCHMARK_JOB_FLAG,BENCHMARK_JOB_ID,EMP_RIGHTS_FLAG,JOB_GROUP_ID,APPROVAL_AUTHORITY,COMMENTS,LoadBy,LoadDate,LoadProcess,CreateBy,CreateDate,CreateProcess,UpdateBy,UpdateDate,UpdateProcess,InactiveInd,InactiveDate,InactiveReason
76,2578,1520,0,1604,2004-01-01 00:00:00.000000 UTC,,HKG - REQUESTOR,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-06-14 19:41:02.000000 UTC,3823,3875021,3823,2004-06-14 19:30:54.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,2,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1528,0,1608,2004-01-01 00:00:00.000000 UTC,,HKG - MD GREATER CHINA,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-06-14 19:47:10.000000 UTC,3823,3875021,3823,2004-06-14 19:47:10.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1526,0,1607,2004-01-01 00:00:00.000000 UTC,,HKG - FINANCE MANAGER,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-06-14 19:46:31.000000 UTC,3823,3875021,3823,2004-06-14 19:46:31.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1524,0,1606,2004-01-01 00:00:00.000000 UTC,,HKG - DEPT DIRECTOR,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-06-14 19:45:51.000000 UTC,3823,3875021,3823,2004-06-14 19:45:51.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1141,0,1321,2003-04-10 00:00:00.000000 UTC,,ESP COMPRADOR ASISTENTE,,,,,,,,,,G&A,Non-Manager,,,,,,,,,,,,,,,2003-04-10 13:39:11.000000 UTC,1531,2824956,1531,2003-04-10 13:39:11.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1755,0,1725,2004-09-27 00:00:00.000000 UTC,,IND - CHRO,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-09-28 05:35:39.000000 UTC,24502,4214780,24502,2004-09-28 05:35:39.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1828,0,1766,2004-09-27 00:00:00.000000 UTC,,IND - AVP - ADMIN & FACILITIES,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-09-28 06:58:47.000000 UTC,24502,4214780,24502,2004-09-28 06:58:47.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1745,0,1720,2004-09-27 00:00:00.000000 UTC,,IND - EXECUTIVE SECRETARY - CEO,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-09-28 05:33:30.000000 UTC,24502,4214780,24502,2004-09-28 05:33:30.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1811,0,1757,2004-09-27 00:00:00.000000 UTC,,IND - SUPERVISOR - OSC,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-09-28 06:52:44.000000 UTC,24502,4214780,24502,2004-09-28 06:52:44.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
76,2578,1807,0,1755,2004-09-27 00:00:00.000000 UTC,,IND - SR EXECUTIVE - ADMIN & FAC,,,,,,,,,,G&A,Non-Manager,0,,,,,,,,,,,,,,2004-09-28 06:51:30.000000 UTC,24502,4214780,24502,2004-09-28 06:51:30.000000 UTC,US,,,,,,,,,,,,,,,,,,,,,1,false,,false,1,,,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,mwright,2022-01-28 14:27:21.878864 UTC,Corp_OracleEbs_BigQuery_PER_JOBS_Import,false,,
