CODE_COMBINATION_ID,LAST_UPDATE_DATE,LAST_UPDATED_BY,CHART_OF_ACCOUNTS_ID,DETAIL_POSTING_ALLOWED_FLAG,DETAIL_BUDGETING_ALLOWED_FLAG,ACCOUNT_TYPE,ENABLED_FLAG,SUMMARY_FLAG,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,SEGMENT11,SEGMENT12,SEGMENT13,SEGMENT14,SEGMENT15,SEGMENT16,SEGMENT17,SEGMENT18,SEGMENT19,SEGMENT20,SEGMENT21,SEGMENT22,SEGMENT23,SEGMENT24,SEGMENT25,SEGMENT26,SEGMENT27,SEGMENT28,SEGMENT29,SEGMENT30,DESCRIPTION,TEMPLATE_ID,ALLOCATION_CREATE_FLAG,START_DATE_ACTIVE,END_DATE_ACTIVE,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,CONTEXT,SEGMENT_ATTRIBUTE1,SEGMENT_ATTRIBUTE2,SEGMENT_ATTRIBUTE3,SEGMENT_ATTRIBUTE4,SEGMENT_ATTRIBUTE5,SEGMENT_ATTRIBUTE6,SEGMENT_ATTRIBUTE7,SEGMENT_ATTRIBUTE8,SEGMENT_ATTRIBUTE9,SEGMENT_ATTRIBUTE10,SEGMENT_ATTRIBUTE11,SEGMENT_ATTRIBUTE12,SEGMENT_ATTRIBUTE13,SEGMENT_ATTRIBUTE14,SEGMENT_ATTRIBUTE15,SEGMENT_ATTRIBUTE16,SEGMENT_ATTRIBUTE17,SEGMENT_ATTRIBUTE18,SEGMENT_ATTRIBUTE19,SEGMENT_ATTRIBUTE20,SEGMENT_ATTRIBUTE21,SEGMENT_ATTRIBUTE22,SEGMENT_ATTRIBUTE23,SEGMENT_ATTRIBUTE24,SEGMENT_ATTRIBUTE25,SEGMENT_ATTRIBUTE26,SEGMENT_ATTRIBUTE27,SEGMENT_ATTRIBUTE28,SEGMENT_ATTRIBUTE29,SEGMENT_ATTRIBUTE30,SEGMENT_ATTRIBUTE31,SEGMENT_ATTRIBUTE32,SEGMENT_ATTRIBUTE33,SEGMENT_ATTRIBUTE34,SEGMENT_ATTRIBUTE35,SEGMENT_ATTRIBUTE36,SEGMENT_ATTRIBUTE37,SEGMENT_ATTRIBUTE38,SEGMENT_ATTRIBUTE39,SEGMENT_ATTRIBUTE40,SEGMENT_ATTRIBUTE41,SEGMENT_ATTRIBUTE42,REFERENCE1,REFERENCE2,REFERENCE3,REFERENCE4,REFERENCE5,JGZZ_RECON_FLAG,JGZZ_RECON_CONTEXT,PRESERVE_FLAG,REFRESH_FLAG,IGI_BALANCED_BUDGET_FLAG,COMPANY_COST_CENTER_ORG_ID,REVALUATION_ID,LEDGER_SEGMENT,LEDGER_TYPE_CODE,ALTERNATE_CODE_COMBINATION_ID
3926420,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,L,false,false,6208,0,0,2880,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
3927349,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,L,false,false,5320,0,0,2878,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
4027389,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,L,false,false,11055,0,0,2882,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
3926913,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,L,false,false,6207,0,0,2877,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2358730,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,6203,62,4,6660,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-02-28 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2367488,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,6203,62,90,6470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-02-28 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2363983,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,6203,62,60,6050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-02-28 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2083645,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,44,6145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1951280,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,90,6611,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2082799,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,41,6085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
